BLEU = 18.22, 64.6/35.2/22.4/17.6 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.10, 64.3/34.5/20.8/15.1 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.94, 64.7/34.9/22.3/16.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.31, 64.5/33.4/20.9/16.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.38, 63.5/33.9/21.6/15.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.62, 63.1/31.7/20.1/15.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.89, 63.4/31.6/18.8/13.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.28, 64.2/34.3/21.3/15.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.38, 65.2/34.8/21.4/15.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.48, 64.5/33.8/20.0/13.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.45, 64.4/33.8/21.3/16.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.46, 62.4/31.7/20.2/14.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 18.32, 66.2/34.8/22.6/17.6 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.96, 65.2/34.2/22.2/17.1 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.80, 64.9/32.9/20.3/14.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 18.32, 65.6/35.6/22.9/17.1 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.15, 65.5/33.9/20.8/15.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.00, 63.3/32.6/19.5/13.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.39, 62.1/31.7/20.0/14.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 18.47, 65.3/35.9/23.2/17.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.72, 64.8/34.9/22.3/15.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.03, 64.7/33.5/20.5/15.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.71, 65.9/35.3/21.6/15.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.59, 64.5/33.1/20.2/14.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.07, 64.3/32.3/19.5/13.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.89, 61.9/31.7/19.5/13.5 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.67, 64.4/33.4/20.0/14.5 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.67, 63.2/31.9/18.8/12.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 14.73, 62.7/30.2/17.2/11.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.87, 64.4/32.6/18.8/13.0 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.43, 64.6/34.1/21.6/15.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 18.18, 65.1/35.0/22.4/17.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.27, 64.6/34.2/21.2/15.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.38, 62.1/30.2/18.1/13.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.65, 63.1/33.0/20.1/14.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.79, 62.9/32.1/18.9/13.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.81, 62.8/31.4/20.0/16.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.44, 64.5/34.2/21.2/16.1 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.72, 63.5/32.8/20.0/15.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.23, 65.0/33.7/20.8/15.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.03, 65.5/34.2/20.5/14.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.07, 64.1/33.4/20.7/15.6 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
